cgpa,Branch,Coding Languages you are proficient in:,English Written:,English Spoken:,Quantitative Aptitude:,Number of Projects:,Number of Publications/Research Paper(If Any):,Any Extra/Other Skills:,Company Name :,Company Name(If placed and profile),Internship Experience (The number of internship  and company name):,Number of Backlogs,Events Organised:,numberofcodinglanguage,numberproject,numberextraskill,numberinternship,numberevents,numberbranch,numberenglishwritten,numberenglishspoken,numberquantativeaptitude,numbercompany
6.81,EEE,JAVA,Very Good,Good,Good,1,0,Matlab,unplaced,,"2, Air India, CESC",0,0,1,1,1,2,0,4,4,3,3,2
7.26,EEE,No language known,Good,Average,Very Good,1,0,Matlab,unplaced,,,0,,1,1,1,0,0,4,3,2,4,2
8.47,CSE,C,Good,Good,Good,2,0,"Big Data;IOT,DIGITAL MARKETING",unplaced,,"1,TATA STEEL",0,,1,2,3,1,0,2,3,3,3,2
8.66,EEE,C;C++;JAVA,Good,Good,Very Good,1,0,Matlab,placed,DELOITTE-USI CONSULTING,,0,CHIMERA,3,1,1,0,1,4,3,3,4,1
7.79,EEE,C,Excellent,Very Good,Good,2,0,Big Data,unplaced,,,0,1,1,2,1,0,1,4,5,4,3,2
7.56,EEE,C,Very Good,Excellent,Very Good,3,0,skills on core industrial sector in fields of power plants and Control systems,unplaced,,,0,,1,3,2,0,0,4,4,5,4,2
9.24,EEE,C;C++,Good,Good,Very Good,1,0,Matlab,placed,DELOITTE (USI CONSULTING),,0,,2,1,1,0,0,4,3,3,4,1
8.21,EEE,C;C++,Excellent,Excellent,Excellent,1,0,Sales;Management skills;Autocad;Matlab,unplaced,,,0,,2,1,4,0,0,4,5,5,5,2
8.36,EE,C;C++,Average,Average,Good,1,0,Matlab,unplaced,,,0,No,2,1,1,0,0,3,2,2,3,2
8.3,EEE,C;JAVA,Very Good,Very Good,Very Good,3,0,Management skills,placed,Robert Bosch,"Two trainings. 1.Bhilai Steel Plant, 2.Indian Railways",0,Two to three,2,3,1,2,1,4,4,4,4,1
8.23,EEE,C;C++,Good,Good,Very Good,1,0,"Management skills;Vlsi, Embedded systems,Robotics",unplaced,,1 internship from GRSE Pvt LTD.,0,,2,1,4,1,0,4,3,3,4,2
7.52,EEE,C,Good,Good,Very Good,1,0,"VLSI, EMBEDDED SYSTEMS, PLC",unplaced,,"2,  cesc LTD and Kolkata metro",0,No,1,1,3,2,0,4,3,3,4,2
7.54,EE,C,Average,Average,Good,1,0,Plc,unplaced,Tcs,1 Bhilai steel plant ,0,0,1,1,1,1,0,3,2,2,3,2
7.15,EEE,C;C++;JAVA,Good,Good,Good,2,0,"Matlab;Plc ,",unplaced,,"Done java course , plc and on embedded system ",0,,3,2,2,2,0,4,3,3,3,2
8.67,EEE,C,Very Good,Very Good,Good,2,0,Internet Of Things (IOT),unplaced,,"2 Internships (H.E.C.  , SAIL)",0,,1,2,1,2,0,4,4,4,3,2
7.91,CIVIL,JAVA,Good,Good,Good,2,0,Management skills;Autocad;Stadd Pro;Lumion Google SketchUp,unplaced,,,1,10,1,2,4,0,10,1,3,3,3,2
7.1,EEE,C;C++;JAVA,Very Good,Good,Very Good,1,0,Web Development;Management skills,unplaced,,,0,GPC - Global Peace Conference 2016,3,1,2,0,1,4,4,3,4,2
7.32,CIVIL,C,Good,Good,Good,3,0,Sales;Management skills;Autocad;Stadd Pro,unplaced,,,0,"Kiitfest, chimera, wishbirds, oyocampus cadet, ",1,3,4,0,5,1,3,3,3,2
7.69,CIVIL,C;C++,Average,Average,Good,1,0,Machine Learning;Android;Sales;Management skills;Autocad;Stadd Pro,unplaced,,"2-RCD,BCD ,Patna, Bihar",0,5,2,1,6,2,5,1,2,2,3,2
8.42,EEE,C;C++;JAVA,Very Good,Very Good,Very Good,3,0,Big Data;German Language,unplaced,,1. ABB India Limited. 2. WEBEL Academy,0,No,3,3,2,2,0,4,4,4,4,2
6.83,CIVIL,No language known,Good,Average,Very Good,2,1,Android,unplaced,,2,0,Rafi night ,1,2,1,2,1,1,3,2,4,2
6.63,CIVIL,C;Python,Very Good,Good,Very Good,2,2,Autocad,unplaced,,2,0,"Rafi night, cricket tournament, kiit fest",2,2,1,2,3,1,4,3,4,2
6.58,CIVIL,No language known,Good,Good,Very Good,2,0,Autocad;Stadd Pro,unplaced,,,0,,1,2,2,0,0,1,3,3,4,2
7.36,CIVIL,No language known,Good,Average,Very Good,2,2,Management skills,unplaced,,2,0,,1,2,1,2,0,1,3,2,4,2
8.07,CIVIL,No language known,Good,Average,Excellent,2,0,Autocad;Stadd Pro,unplaced,,2,0,,1,2,2,2,0,1,3,2,5,2
8.45,CIVIL,C++,Average,Good,Average,1,0,Autocad;Stadd Pro,unplaced,,,0,,1,1,2,0,0,1,2,2,2,2
7.96,CIVIL,No language known,Good,Good,Good,1,0,Management skills;Autocad;REVIT ARCHITECTURE ,unplaced,,"2 internship-PRISM CEMENT Ltd and PWD, ALLAHABAD",0,No event ,1,1,3,2,0,1,3,3,3,2
7.55,EEE,C,Good,Good,Good,1,0,Management skills,unplaced,,,0,Events of NSS,1,1,1,0,1,4,3,3,3,2
7.49,CIVIL,No language known,Very Good,Very Good,Very Good,2,0,Autocad;ETABS and SAFE ,unplaced,,VYOM CONSULTANTS VADODARA,0,,1,2,3,1,0,1,4,4,4,2
9.72,CIVIL,C;C++,Excellent,Excellent,Very Good,0,0,Blockchain;Autocad;Stadd Pro,placed,Highradius and techno consultant ,"2, L&T AND ITD CEMENTATION",0,2,2,0,3,2,2,1,5,5,4,1
6.33,CIVIL,No language known,Good,Good,Good,1,0,Autocad,unplaced,,1,0,,1,1,1,1,0,1,3,3,3,2
7.13,EEE,C;C++;Python,Excellent,Very Good,Very Good,1,0,Matlab,unplaced,,,0,,3,1,1,0,0,4,5,4,4,2
1505164,CSE,C;JAVA,Very Good,Very Good,Good,1,0,Management skills,unplaced,,1 NMDC,0,0,2,1,1,1,0,2,4,4,3,2
6.56,CIVIL,No language known,Average,Average,Average,1,0,Autocad;Stadd Pro,unplaced,,1 Bihar Rajya Pul Nirman Nimag Limited,0,,1,1,2,1,0,1,2,2,2,2
6.56,CIVIL,No language known,Average,Average,Average,1,0,Autocad;Stadd Pro,unplaced,,1 Bihar Rajya Pul Nirman Nigam Limited Patna,0,,1,1,2,1,0,1,2,2,2,2
6.77,CIVIL,No language known,Average,Average,Average,1,0,Autocad;Stadd Pro,unplaced,,1 simplex infrastruxture limited,0,,1,1,2,1,0,1,2,2,2,2
8.28,EEE,C;JAVA,Very Good,Very Good,Very Good,3,0,Matlab,unplaced,,,0,,2,3,1,0,0,4,4,4,4,2
6.32,CIVIL,C,Very Good,Good,Very Good,1,0,Autocad,unplaced,,1.pwd.  2.oshb.,0,Kiit fest.,1,1,1,2,1,1,4,3,4,2
7.1,EEE,C;C++,Good,Good,Good,1,0,Sales;Management skills,unplaced,,,0,,2,1,2,0,0,4,3,3,3,2
6.34,EEE,C,Good,Good,Good,2,0,Management skills,unplaced,,1 Indian railways,0,2,1,2,1,1,2,4,3,3,3,2
5.6,EEE,Audrino,Good,Average,Good,2,0,Sales;Management skills;Research,unplaced,,1.NHPC 2.PGCIL,5,,1,2,3,2,0,4,3,2,3,2
8.08,CIVIL,C,Average,Average,Average,1,0,Autocad;Stadd Pro,unplaced,,2 internships. 1) ANAADI GROUP 2) KASHISH DEVELOPERS LTD,0,,1,1,2,2,0,1,2,2,2,2
7.88,EEE,C,Good,Good,Very Good,1,0,HTML,unplaced,,,0,,1,1,1,0,0,4,3,3,4,2
7.83,CIVIL,No language known,Very Good,Very Good,Good,1,0,Autocad;Stadd Pro;Primavera,unplaced,,"1. Mecon ,2. Southern Eastern Railways",0,,1,1,3,2,0,1,4,4,3,2
7.67,CIVIL,C;C++,Good,Average,Very Good,1,0,Autocad;Stadd Pro,unplaced,,"first internship in DVC CHANDRAPURA ,(BOKARO) and second internship in SAIL (BOKARO)",0,,2,1,2,2,0,1,3,2,4,2
8.63,CIVIL,No language known,Very Good,Very Good,Good,0,0,Autocad,unplaced,,1. HINDALCO INDUSTRIES LIMITED. 2. TATA STEEL LIMITED,0,no,1,0,1,2,0,1,4,4,3,2
8.76,CSE,JAVA,Very Good,Very Good,Excellent,2,0,Big Data,unplaced,,2 NALCO,0,OU Events,1,2,1,2,1,2,4,4,5,2
8.87,CIVIL,No language known,Very Good,Very Good,Very Good,2,0,Autocad,unplaced,,2 both larsen and toubro,0,no,1,2,1,2,0,1,4,4,4,2
7.49,CIVIL,No language known,Very Good,Good,Good,1,0,Autocad,unplaced,,1- RAILWAY BRIDGE WORKSHOP 2- IRRIGATION DEPARTMENT,0,"VERTIGO, KIIT-FEST, FAREWELL ",1,1,1,2,3,1,4,3,3,2
7.85,EEE,C;C++;JAVA;Python,Good,Very Good,Very Good,3,0,Management skills,unplaced,,1 Thing Tronics innovation pvt ltd,0,5,4,3,1,1,5,4,3,4,4,2
8.57,IT,C;JAVA,Good,Very Good,Very Good,2,0,Android,unplaced,,,0,,2,2,1,0,0,5,3,4,4,2
6.98,CIVIL,C,Good,Good,Good,0,0,Autocad;Stadd Pro,unplaced,,JUSCO TATA,0,YES,1,0,2,1,1,1,3,3,3,2
7.48,CIVIL,No language known,Good,Good,Average,1,0,Autocad;Stadd Pro,unplaced,,2; Larsen and Toubro & DWS ,0,1,1,1,2,2,1,1,3,2,2,2
5.96,CIVIL,C;C++,Very Good,Average,Very Good,0,0,No,unplaced,,1 ( NALCO ),2,,2,0,0,1,0,1,4,2,4,2
7.64,CIVIL,No language known,Average,Bad,Average,1,0,Autocad,unplaced,,"1-DLF, 2-OCC(odisha construction corporation)",0,"KIIT FEST, FRESHERS",1,1,1,2,2,1,2,2,2,2
5.87,EEE,C;C++,Very Good,Very Good,Good,1,0,Sales;Management skills,unplaced,,1. The grapevine pvt. Ltd ,0,,2,1,2,1,0,4,4,4,3,2
7.8,CIVIL,C;C++;JAVA,Good,Good,Good,2,0,Sales;Management skills;Autocad;Stadd Pro,unplaced,,2 internship (1.Estimation and costing 2.Structural Designing),0,Red Riot,3,2,4,2,1,1,3,3,3,2
6.6,CSE,C;C++;JAVA,Very Good,Very Good,Very Good,2,0,Android;Web Development,unplaced,,,0,,3,2,2,0,0,2,4,4,4,2
6.88,EEE,C;C++;JAVA,Very Good,Good,Good,1,0,Management skills,unplaced,,KIIT UNIVERSITY,1,,3,1,1,1,0,4,4,3,3,2
8.74,EEE,C;JAVA,Average,Good,Good,1,0,Embedded systems and robotics and Internet of things.,unplaced,,"1, RCPL India",0,"Quadcopter Workshop, KIIT Fest.",2,1,3,1,2,4,2,3,3,2
8.96,EEE,C;C++,Average,Average,Good,1,0,Matlab,unplaced,,,0,,2,1,1,0,0,4,2,2,3,2
7.44,EE,No language known,Good,Good,Good,2,1,"Matlab;altinum designer, microsoft visio",unplaced,nil,Implementation of Solar PV module in MATLAB using Boost converter- IIT Dhanbad ,0,nil,1,2,3,1,0,3,3,3,3,2
7.6,EEE,C;Python,Very Good,Very Good,Average,1,0,Matlab,unplaced,,,0,1,2,1,1,0,1,4,4,2,2,2
8,CIVIL,C,Very Good,Good,Good,2,0,Autocad;Stadd Pro,unplaced,,1: Damodar Valley Corporation 2: Bokaro Steel Plant (Sail),0,,1,2,2,2,0,1,4,3,3,2
6.67,CIVIL,C;JAVA,Good,Good,Very Good,1,1,Autocad;Stadd Pro,unplaced,,2 interships-LUCKNOW METRO RAILWAY CORPORATION(LMRC) AND VETTA ,0,Kritarth ,2,1,2,2,1,1,3,3,4,2
8.04,CSE,C;C++;JAVA;Python;R,Very Good,Very Good,Good,3,0,Android;Big Data,placed,HighRadius Technologies associate software engineer 1,"Vecc, kolkata and HighRadius Technologies currently pursuing.",0,,5,3,2,2,0,2,4,4,3,1
8.48,EEE,C;C++,Good,Good,Excellent,2,0,Matlab,placed,Deloitte (Risk and Advisory),Tata Steel,0,0,2,2,1,1,0,4,3,3,5,1
7.71,EEE,C,Very Good,Good,Excellent,2,0,Matlab,unplaced,,1 in NTPC KAHALGAON,0,0,1,2,1,1,0,4,4,3,5,2
9.09,CSE,C;C++;Python,Very Good,Very Good,Very Good,2,0,Machine Learning;Management skills;CLOUD COMPUTING,placed,NOVARTIS HEALTHCARE,,0,04-May,3,2,3,0,4,2,4,4,4,1
6.04,CSE,C;JAVA,Average,Average,Average,1,0,Android,unplaced,,,0,,2,1,1,0,0,2,2,2,2,2
9.09,CSE,C;C++;Python,Very Good,Very Good,Very Good,2,0,Machine Learning;Management skills;CLOUD COMPUTING,placed,NOVARTIS HEALTHCARE,,0,04-May,3,2,3,0,4,2,4,4,4,1
8.04,CIVIL,No language known,Very Good,Very Good,Average,1,0,Sales;Management skills;Autocad,unplaced,,Shapoorji Palonji,0,Many,1,1,3,1,1,1,4,2,2,2
6.92,EEE,Python,Very Good,Very Good,Good,1,0,none,unplaced,,"2, BSNL and IOCL",0,,1,1,0,2,0,4,4,4,3,2
7.82,CSE,C,Excellent,Excellent,Excellent,4,0,"Big Data;Management skills;Cloud Computing, Networking",unplaced,,,0,,1,4,4,0,0,2,5,5,5,2
7.09,EEE,C;Python,Excellent,Excellent,Good,2,0,Management skills,unplaced,,Bhilai steel plant,0,Freshers,2,2,1,1,1,4,5,5,3,2
8.82,EEE,No language known,Excellent,Excellent,Good,1,0,Sales;Management skills,unplaced,,Siemens Ltd. Locomotives and their functionality of REMMLOT,0,Seminars -2,1,1,2,1,2,4,5,5,3,2
7.17,CSE,C,Very Good,Very Good,Very Good,2,0,Machine Learning;Big Data,unplaced,,2 Utility Forms Pvt LTD and Samanvay Research and Foundation,0,,1,2,2,2,0,2,4,4,4,2
6.98,CSE,C;C++;JAVA,Very Good,Good,Good,2,0,Big Data,unplaced,,,0,4,3,2,1,0,4,2,4,3,3,2
7.13,CIVIL,C++;JAVA,Good,Good,Good,1,0,Autocad,unplaced,,"2, TATA STEEL",0,NONE,2,1,1,2,0,1,3,3,3,2
7.13,CIVIL,No language known,Average,Average,Good,2,0,"Sales;Management skills;Autocad;Stadd Pro;Photography, Photoshop",unplaced,I have been placed (Offline) but I left after that,Three internship done (Two are in Gammon India and the other one is in Oddaka Infratech Limited),0,Under ASCE many events have organised as An event manager,1,2,6,1,1,1,2,2,3,2
8.16,EE,C,Very Good,Good,Very Good,2,0,Autocad;Matlab,unplaced,,,0,,1,2,2,0,0,3,4,3,4,2
8.74,MECH,C;Data Structure ,Very Good,Very Good,Very Good,2,0,Machine Learning;IOT,unplaced,,2,0,mechanical premier league ,2,2,2,2,1,6,4,4,4,2
7.13,MECH,JAVA;Python,Excellent,Excellent,Very Good,2,0,Machine Learning;Big Data;Autocad;Matlab,unplaced,,,0,,2,2,4,0,0,6,5,5,4,2
7.7,MECH,No language known,Good,Good,Average,1,0,Machine Learning,unplaced,,,0,Raafi nights,1,1,1,0,1,6,3,2,2,2
7.85,MECH,No language known,Very Good,Very Good,Average,5,1,Management skills;Autocad,unplaced,,Tata steel,0,Nss events ,1,5,2,1,1,6,4,2,2,2
6.71,EEE,No language known,Good,Good,Very Good,1,0,IOT,unplaced,,,0,,1,1,1,0,0,4,3,3,4,2
6.5,MECH,No language known,Good,Good,Good,1,1,Catia,unplaced,,1,0,1,1,1,1,1,1,6,3,3,3,2
7.42,MECH,JAVA,Very Good,Good,Good,2,0,Autocad,unplaced,,"1, HAL",0,,1,2,1,1,0,6,4,3,3,2
7.05,MECH,C;Data structure in C ,Very Good,Excellent,Good,3,1,Sales;Management skills,unplaced,,"SAIL, NEEPCO , IWCA ,ATG",0,1,2,3,2,4,1,6,4,5,3,2
8.34,EEE,C;JAVA;MYSQL,Very Good,Good,Very Good,2,0,Management skills,unplaced,,,0,SPICMACAY,3,2,1,0,1,4,4,3,4,2
7.4,CIVIL,No language known,Average,Average,Good,0,0,Autocad;Stadd Pro,unplaced,,"(1) PWD Bishnupur, (2)NF Railway.",0,0,1,0,2,2,0,1,2,2,3,2
7.38,EEE,C;C++,Very Good,Very Good,Good,1,1,Internet Of Things,unplaced,,"1- NTPC ,2-P.I.L.",0,,2,1,1,2,0,4,4,4,3,2
8,CSE,C;C++;JAVA;Python;R,Very Good,Very Good,Excellent,3,0,Web Development;Big Data,unplaced,,"1,Hindustan Aeronautics Limited",0,10,5,3,2,1,10,2,4,4,5,2
7.88,MECH,JAVA,Average,Good,Average,1,0,Autocad,unplaced,,,0,,1,1,1,0,0,6,2,2,2,2
7.72,EEE,C,Good,Good,Very Good,3,0,IOT,unplaced,,,0,2,1,3,1,0,2,4,3,3,4,2
8.29,EEE,C;C++,Good,Average,Good,1,0,Embedded System ,unplaced,,1 from GRSE,0,0,2,1,1,1,0,4,3,2,3,2
8.28,EE,No language known,Average,Average,Good,0,0,Autocad,unplaced,,,0,Fresher party for 2k16 batch. ,1,0,1,0,1,3,2,2,3,2
8.3,MECH,C,Good,Average,Good,3,0,"Autocad;catia,solid works",unplaced,,"1, JOHN DEERE",0,3,1,3,3,1,3,6,3,2,3,2
7,CIVIL,C++;No language known,Good,Average,Average,1,0,Autocad;Stadd Pro,unplaced,,1(PWD),0,Freshers party 2k16,2,1,2,1,1,1,3,2,2,2
6.34,CIVIL,C,Very Good,Very Good,Good,1,0,Autocad,unplaced,,1. M.N Dastur ,0,4,1,1,1,1,4,1,4,4,3,2
8.49,CSE,JAVA;Python;R,Good,Good,Good,4,0,Machine Learning;Big Data;Management skills,placed,"Highradius technologies Ltd, customer Success Associate ",,0,Fifa u 17 wc,3,4,3,0,1,2,3,3,3,1
6.8,CIVIL,C;C++;JAVA,Very Good,Very Good,Good,3,0,Big Data;Autocad;Stadd Pro,unplaced,,,2,18,3,3,3,0,18,1,4,4,3,2
7.58,EEE,C,Good,Very Good,Very Good,1,1,Sales;Matlab,unplaced,,,0,,1,1,2,0,0,4,3,4,4,2
7.35,EEE,C++,Average,Average,Good,1,0,Management skills,unplaced,,,0,,1,1,1,0,0,4,2,2,3,2
6.2,CIVIL,No language known,Good,Good,Good,2,0,Autocad;Stadd Pro,unplaced,,"1-L&T ,2-UPRVUNL",0,3,1,2,2,2,3,1,3,3,3,2
8.82,CIVIL,No language known,Good,Good,Very Good,1,0,Sales;Management skills;Autocad,unplaced,,,0,"Yes,kiit mun,shuhana safar with rafi and kishore, kiit fest, kritarth,",1,1,3,0,6,1,3,3,4,2
7.72,MECH,C;C++,Excellent,Excellent,Very Good,3,1,Management skills;Autocad,unplaced,,"3 summer internships at Sky Rider Automotive, Cummins India LTD and Nalco",0,"KIIT fest, Yantriki, Mega ATV championship, etc",2,3,2,3,4,6,5,5,4,2
7.16,MECH,C,Average,Average,Very Good,2,0,Machine Learning,unplaced,,,0,,1,2,1,0,0,6,2,2,4,2
7.6,CIVIL,C;C++,Good,Average,Good,1,0,Autocad,unplaced,,1,0,0,2,1,1,1,0,1,3,2,3,2
6.58,CIVIL,C;C++;JAVA,Good,Average,Average,1,1,Autocad;Stadd Pro,unplaced,,Lotus Green,1,None,3,1,2,1,0,1,3,2,2,2
6.34,EEE,C;JAVA,Very Good,Very Good,Good,1,0,Sales;Management skills,unplaced,,"1, CESC(Calcutta electrical supply corporation)",0,,2,1,2,1,0,4,4,4,3,2
9.2,CIVIL,C;C++,Good,Good,Very Good,2,0,Autocad;Stadd Pro;Matlab,unplaced,,"2 rural works department and public works department,Govt. Of odisha",0,0,2,2,3,2,0,1,3,3,4,2
6.91,CIVIL,C,Very Good,Average,Good,2,0,Autocad,unplaced,,,0,0,1,2,1,0,0,1,4,2,3,2
6.97,CIVIL,C;C++,Very Good,Good,Good,2,0,Management skills;Autocad,unplaced,,,0,,2,2,2,0,0,1,4,3,3,2
7.1,EEE,C;C++;Xamarim,Very Good,Very Good,Good,3,0,Android;Web Development;Sales,unplaced,,"No of internship 3 company name samsung  , laugh guru , robomart",0,Volunteer at spic macay,3,3,3,3,1,4,4,4,3,2
9.56,MECH,C;C++,Very Good,Very Good,Very Good,1,0,"Autocad;CATIA, Ansys Fluent",placed,Deloitte,1.TATA motoes  2.TATA power,0,none,2,1,3,2,0,6,4,4,4,1
6.38,MECH,C;C++,Good,Good,Good,1,0,Management skills,unplaced,,"1 , SAIL",0,Xavier's Premier League,2,1,1,1,1,6,3,3,3,2
7.41,CSE,C;JAVA,Excellent,Excellent,Good,2,0,Web Development;Management skills,placed,Deloitte. USI Consultancy,0,0,0,2,2,2,0,0,2,5,5,3,1
7.68,MECH,C;C++;Python,Very Good,Very Good,Good,2,0,"Management skills;Autocad;Matlab;Catia , Ansys , Solid works",unplaced,,1. Rourkela Steel Plant 2. Ashok Leyland,0,,3,2,6,2,0,6,4,4,3,2
7.7,EEE,C;C++,Good,Very Good,Good,2,0,Matlab,placed,Deliotte USI,2 internships,0,0,2,2,1,2,0,4,3,4,3,1
7.77,EEE,C;C++;JAVA,Very Good,Very Good,Very Good,2,0,Management skills;Autocad;Matlab,unplaced,,,0,,3,2,3,0,0,4,4,4,4,2
8.24,MECH,C;JAVA,Very Good,Very Good,Good,1,0,Autocad;CATIA,unplaced,,"Ambuja Cements Ltd, Durgapur steel plant",0,,2,1,2,2,0,6,4,4,3,2
6.39,CIVIL,JAVA,Very Good,Very Good,Good,2,0,Management skills,unplaced,,"Quippo Oil gas infrastructure limitedGurgaonHaryana, KMC Constructions.",0,"Odisha Fashion Villa, KSAC management Team. ",1,2,1,2,2,1,4,4,3,2
6.77,EEE,C++;Python,Very Good,Very Good,Good,1,0,Matlab,unplaced,,,0,,2,1,1,0,0,4,4,4,3,2
8.44,EEE,C;C++,Average,Average,Good,1,0,Embedded and robotics,unplaced,,,0,,2,1,2,0,0,4,2,2,3,2
6.63,MECH,JAVA,Good,Good,Good,2,0,Web Development;Management skills,unplaced,,TestBook.com as content translator,1,06-Aug,1,2,2,1,6,6,3,3,3,2
9.1,CSE,C;C++,Excellent,Very Good,Good,2,0,Big Data,placed,informatica,0,0,n/a,2,2,1,0,1,2,5,4,3,1
7.66,EEE,C,Good,Good,Good,2,0,Sales;Management skills,unplaced,,1(SAIL),0,04-May,1,2,2,1,4,4,3,3,3,2
7.64,EEE,C;C++;Python,Good,Good,Good,2,0,Android,unplaced,,1 SAIL(Bhilai Steel Plant),0,1,3,2,1,1,1,4,3,3,3,2
7.95,EEE,C;C++;JAVA,Good,Good,Good,2,0,Management skills;Matlab,unplaced,,1 SAIL,0,no,3,2,2,1,0,4,3,3,3,2
6.79,EEE,C,Good,Good,Good,1,0,Web Development,unplaced,,,0,,1,1,1,0,0,4,3,3,3,2
7.37,EEE,C;JAVA,Good,Good,Very Good,1,0,Management skills;Matlab,unplaced,,SAIL,0,SPORTS DAY IN GOVT. SCHOOL AND BLOOD DONATION CAMP,2,1,2,1,1,4,3,3,4,2
7.4,EE,C;C++,Excellent,Excellent,Excellent,1,0,Management skills,placed,Deloitte (Advisior),"3 ( Hirakud Hydro-Power Plant, NTPC Talcher, FMS Delhi)",0,"One-day Workshop on 3D Printing and Product Design,  One-day Workshop on Introduction to Internet of Things,  One-day Workshop on Smart Grid Issues and Challenges ,International Conference on Recent Innovations in Electrical, Electronics & Communication Engineering",2,1,1,3,3,3,5,5,5,1
6.5,CSE,JAVA,Good,Good,Good,2,0,Android,unplaced,,0,0,2,1,2,1,0,2,2,3,3,3,2
7.69,EE,C,Very Good,Good,Very Good,1,0,,unplaced,,"CESU bhubneswar(MRT division),Electric Railway training",0,,1,1,0,2,0,3,4,3,4,2
8.6,EEE,C,Very Good,Very Good,Very Good,2,0,IOT,unplaced,,nil,0,kiit fest,1,2,1,0,1,4,4,4,4,2
6.91,CSE,JAVA,Very Good,Very Good,Very Good,2,0,Web Development,unplaced,,Former intern at KIIT IoT Lab,0,None,1,2,1,1,0,2,4,4,4,2
8.25,EE,C,Very Good,Good,Very Good,1,0,PLC training,unplaced,,"2, OPTCL and NTPC TANDA",0,KIIT INT MUN SOCIETY,1,1,1,2,1,3,4,3,4,2
6.32,IT,C;C++,Very Good,Very Good,Very Good,1,0,Android,unplaced,,"BSNL , TATA STEEL",0,,2,1,1,2,0,5,4,4,4,2
8.55,CSE,C;JAVA,Average,Average,Average,2,0,Android;Web Development,unplaced,,0,0,0,2,2,2,0,0,2,2,2,2,2
8.94,IT,C;Perl,Excellent,Excellent,Very Good,3,0,Android;Web Development,placed,Deloitte (USI Consulting),"1. Inter-University Center for Astronomy and Astrophysics (IUCAA, Pune); 2. Hasura",0,,2,3,2,2,0,5,5,5,4,1
7.1,MECH,C;C++,Average,Average,Average,0,0,Autocad,unplaced,,2,0,0,2,0,1,2,0,6,2,2,2,2
7.06,CSE,C,Good,Good,Very Good,1,0,Web Development,unplaced,,0,0,,1,1,1,0,0,2,3,3,4,2
6.94,EE,C;C++,Good,Good,Good,1,0,Autocad;PLC,unplaced,,"1.OPTCL,2.NTPC",0,Kalinga international film festival (OC),2,1,2,2,1,3,3,3,3,2
5.68,MECH,No language known,Very Good,Good,Good,0,0,Social and Cultural,unplaced,,None,5,"Army Cantt. Social Camp, Assam Cloth Donation, S.Korea-Japan Cultural Exchange, Assam-Orissa Cultural Exchange, Khorda Dental Treatment for Slum residents etc. Also involved in College Events Organizing and as a Performer.",1,0,2,0,5,6,4,3,3,2
7.76,CSE,C;C++,Excellent,Excellent,Good,1,0,Big Data,unplaced,,"1-BIT, Mesra",0,,2,1,1,1,0,2,5,5,3,2
8.4,EEE,C;JAVA;Python,Good,Very Good,Average,6,0,Machine Learning;Android,placed,HIGH Radius,1) Spatez Technologies 2) HIghRadius,0,2,3,6,2,2,2,4,3,2,2,1
8.31,CSE,C,Average,Good,Average,2,0,"Networking administration,cloud computing",unplaced,,Nil,0,Karunya,1,2,2,0,1,2,2,2,2,2
7.7,CIVIL,C++,Very Good,Very Good,Very Good,1,0,Autocad;Stadd Pro,unplaced,,"1,(BCCL DHANBAD)",0,1,1,1,2,1,1,1,4,4,4,2
7.9,EEE,C++,Average,Bad,Average,2,0,Matlab,unplaced,,No,0,,1,2,1,0,0,4,2,2,2,2
7.42,EEE,C,Average,Average,Average,1,0,Matlab,unplaced,,No,0,,1,1,1,0,0,4,2,2,2,2
8.11,CSE,C;C++,Very Good,Very Good,Average,1,1,Big Data;Management skills,unplaced,,"1, Rourkela Steel Plant",0,yes,2,1,2,1,1,2,4,2,2,2
5.89,CIVIL,JAVA,Average,Average,Very Good,0,0,Management skills;Autocad,unplaced,,0,5,,1,0,2,0,0,1,2,2,4,2
7.63,EE,C;C++;JAVA;Python,Excellent,Excellent,Good,0,0,Machine Learning;Android;Web Development;Blockchain;Big Data;Sales;Management skills;Autocad,unplaced,,0,0,No,4,0,8,0,0,3,5,5,3,2
8.15,EEE,C;C++,Good,Good,Very Good,2,0,Matlab,unplaced,,1month at retisense pvt.ltd,0,0,2,2,1,1,0,4,3,3,4,2
7.1,EEE,C;C++;JAVA,Very Good,Very Good,Very Good,1,0,Web Development;Management skills,unplaced,,"2, MTPS, Jadavpur University",0,GPC- Global Peace Conference 2016,3,1,2,2,1,4,4,4,4,2
8.98,EEE,C++;JAVA,Very Good,Good,Very Good,1,0,Sales;Management skills,unplaced,,1 and Bhilai Steel Plant,0,Part of NSS Electronics Society ,2,1,2,1,1,4,4,3,4,2
6.39,EEE,C,Average,Average,Average,1,0,Sales;Management skills,unplaced,,"D V C, NTPC",0,YES,1,1,2,2,1,4,2,2,2,2
8.03,CSE,C;C++;Python,Very Good,Very Good,Very Good,2,0,Machine Learning;Sales;Management skills,unplaced,,1. NIC 2.AUXTRUM,0,2,3,2,3,2,2,2,4,4,4,2
8.48,MECH,No language known,Good,Good,Good,2,1,Sales;Autocad,unplaced,,"1. Oil India Limited, 2. Indian oil corporation limited",0,1,1,2,2,2,1,6,3,3,3,2
7.93,CSE,C;JAVA,Average,Average,Good,1,0,Android,unplaced,,No,0,No,2,1,1,0,0,2,2,2,3,2
