cgpa,Branch,Coding Languages you are proficient in:,English Written:,English Spoken:,Quantitative Aptitude:,Number of Projects:,Number of Publications/Research Paper(If Any):,Any Extra/Other Skills:,Company Name :,Company Name(If placed and profile),Internship Experience (The number of internship  and company name):,Number of Backlogs,Events Organised:,numberofcodinglanguage,numberproject,numberextraskill,numberinternship,numberevents,numberbranch,numberenglishwritten,numberenglishspoken,numberquantativeaptitude,numbercompany
8.78,CSE,C;JAVA;Python,Good,Good,Good,5,0,Machine Learning;Web Development,placed,"HighRadius, Developer",2,0,"Kiitfest, kritarth",3,5,2,2,2,2,3,3,3,1
7.33,IT,"C;C++;JAVA;R;JavaScript, PHP, HTML, CSS",Excellent,Excellent,Very Good,8,1,Web Development;Management skills;Data Science,placed,Deloitte,"3 Paytm, Green Door Global, Lecturenotes",0,1,8,8,3,3,1,5,5,5,4,1
8.94,CSE,C;C++;JAVA;C#,Very Good,Very Good,Very Good,4,0,Web Development,unplaced,,1.Full stack developer in Mytrendin.com (work from home),0,,4,4,1,1,0,2,4,4,4,2
7.17,IT,C,Average,Average,Average,1,0,Management skills;Networking,unplaced,,,0,Fresher's 2k16(karunya),1,1,2,0,1,5,2,2,2,2
7.97,IT,C;C++;JAVA;Python,Average,Average,Average,2,0,Machine Learning;Web Development,unplaced,,2 internship,0,,4,2,2,2,0,5,2,2,2,2
6.5,IT,C;R,Good,Very Good,Very Good,1,0,Machine Learning;Big Data,unplaced,No,"3 ibm,Webtek labs,Kaashiv infotech chennai",0,Nss kraftovity,2,1,2,3,1,5,3,4,4,2
8.28,CSE,C;JAVA,Good,Average,Very Good,2,0,Android,placed,,"Already did internship in YEF, RANKETHON now doing internship in ENTRELEGAL",0,,2,2,1,2,0,2,3,2,4,1
8.17,CSE,C;C++;JAVA;Python,Average,Average,Average,0,0,Web Development,unplaced,,,0,Nss recruitment ,4,0,1,0,1,2,2,2,2,2
8.59,CSE,C;C++;JAVA;Python;R,Good,Good,Good,3,0,"Machine Learning;cc, iot, ",placed,Deloitte Technology Analyst,0,0,1,5,3,3,0,1,2,3,3,3,1
7.9,CSE,No language known,Good,Average,Good,4,0,Graphic design,unplaced,,"1,Feeding India",0,nil,1,4,1,1,0,2,3,2,3,2
